Subject,Cond,order_PPRS1_RSPP2,Sex,Age,SexOrient,Outro1,tOutro1,PP01,PP02,PP03,PP04,PP05,PP06,PP07,PP08,PP09,PP10,PP11,PP12,PP13,PP14,PP15,PP16,PP17,PP18,tPP01,tPP02,tPP03,tPP04,tPP05,tPP06,tPP07,tPP08,tPP09,tPP10,tPP11,tPP12,tPP13,tPP14,tPP15,tPP16,tPP17,tPP18,PPVAS1,PPVAS2,RS01,RS02,RS03,RS04,RS05,RS06,RS07,RS08,RS09,RS10,RS11,RS12,RS13,RS14,RS15,RS16,tRS01,tRS02,tRS03,tRS04,tRS05,tRS06,tRS07,tRS08,tRS09,tRS10,tRS11,tRS12,tRS13,tRS14,tRS15,tRS16,RSVAS1,RSVAS2,SPVAS1,SPVAS2,VIS01,VIS02,VIS03,tVIS01,tVIS02,PP03_revcod,PP05_revcod,PP12_revcod,PP13_revcod,PP15_revcod,PP16_revcod,PP18_revcod,PP_AVE,RS01_revcod,RS02_revcod,RS03_revcod,RS05_revcod,RS011_revcod,RS012_revcod,RS016_revcod,RS_AVE,tAVE_PP,tAVE_RS,VIS_AVE,VAS1_cor,VAS2_cor,VAS_bothwrong
63,3,1,1,20,4,99,99,7,2,6,6,2,2,2,3,3,2,1,1,1,2,3,2,2,3,6982,8178,6167,3613,8988,2755,4398,4488,9473,4850,6245,4825,5460,5798,4510,3655,4463,6650,99,99,5,2,2,6,4,6,5,4,2,2,1,2,6,6,6,2,6670,8375,10437,4085,4555,2998,5923,3042,3885,6170,4313,5022,5625,4507,2650,4975,99,99,2,1,5,5,1,3615,3237,2,6,7,7,5,6,5,3.888888889,3,6,6,4,7,6,6,5.0625,5638.777778,5202,3.666666667,1,1,0
64,3,1,2,19,1,99,99,5,2,6,2,5,2,2,3,2,5,2,7,5,5,4,4,3,1,6292,5015,4730,7035,9178,2927,5158,6658,3768,5300,3155,4980,8860,5023,7772,4555,7418,5680,99,99,5,5,2,5,3,5,5,6,6,6,1,2,5,5,7,3,4138,8480,10955,8555,2968,3368,7072,2483,4263,3168,4668,5463,4443,3535,4983,4138,99,99,2,1,5,5,1,3215,5320,2,3,1,3,4,4,7,3.166666667,3,3,6,5,7,6,5,5.3125,5750.222222,5167.5,3.666666667,1,1,0
72,3,1,1,19,4,99,99,5,7,2,7,6,7,2,7,6,3,7,7,1,4,1,2,5,3,7922,3927,6567,4962,8778,3473,3462,3610,4728,7457,3358,2355,7227,4647,5858,4167,7808,7738,99,99,7,4,3,5,5,7,5,6,6,7,3,3,7,5,7,2,5795,5722,14255,11325,4515,2928,7703,3883,3200,10260,5045,5525,14185,5398,3370,6468,99,99,2,1,1,4,6,5452,2845,6,2,1,7,7,6,5,5.222222222,1,4,5,3,5,5,6,5.25,5446.888889,6848.5625,3.666666667,1,1,0
73,3,1,1,19,1,99,99,7,6,2,6,2,3,2,6,3,6,4,4,3,3,4,3,4,2,4360,7088,6485,5628,15583,6780,9593,6293,9318,9065,7800,7396,17203,10770,4531,8952,16020,14641,99,99,5,4,2,2,4,7,6,6,6,5,3,3,4,6,6,4,8782,11576,8205,13247,9905,2933,6287,4427,2053,8655,6763,7033,10062,8145,10906,9995,99,99,2,1,5,5,3,4378,7215,6,6,4,5,4,5,6,4.777777778,3,4,6,4,5,5,4,4.9375,9305.888889,8060.875,4.333333333,1,1,0
74,3,1,2,19,1,99,99,3,2,5,5,5,3,2,3,3,3,3,2,3,4,4,5,3,2,6072,4335,3457,5560,5518,5987,11062,5036,5653,6025,4433,3588,11517,5765,4138,2978,4628,6780,99,99,6,2,4,4,5,6,4,5,5,3,3,5,4,6,6,5,7583,5413,6215,8458,4023,3863,6026,2712,3290,4055,5448,2830,11853,2883,2783,4782,99,99,2,1,5,6,2,3405,3337,3,3,6,5,4,3,6,3.555555556,2,6,4,3,5,3,3,4.3125,5696.222222,5138.5625,4.333333333,1,1,0
77,3,2,1,29,1,99,99,7,4,1,3,4,2,2,4,7,7,4,1,4,7,3,3,7,5,4918,9678,3583,6848,20073,5312,7993,5090,7158,7920,5820,5008,12437,7577,10298,11068,8075,18513,99,99,3,3,3,5,6,4,5,7,3,3,1,4,4,6,6,7,9450,10985,21973,13335,7563,9181,14315,10343,7865,7877,8640,14793,16138,5778,4113,7215,99,99,2,1,4,6,1,5007,8758,7,4,7,4,5,5,3,4.944444444,5,5,5,2,7,4,1,4.5,8742.722222,10597.75,3.666666667,1,1,0
83,3,2,2,19,1,99,99,1,2,5,5,5,2,2,2,4,3,2,6,5,5,3,5,3,5,3033,2435,2580,3237,4355,1947,2605,3450,3980,4210,2548,2523,5210,3195,3858,2875,3465,4857,99,99,7,6,5,6,3,5,2,6,5,5,5,2,5,5,5,5,3288,3923,5730,3805,2755,2505,4440,2597,2490,3103,2682,4503,4173,3890,2218,5120,99,99,2,1,6,6,5,3733,2418,3,3,2,3,5,3,3,2.944444444,1,2,3,5,3,6,3,4.1875,3353.5,3576.375,5.666666667,1,1,0
85,3,2,2,19,2,99,99,2,2,6,1,1,6,1,7,1,1,6,2,1,1,2,6,1,2,7188,3593,3270,6908,6288,2885,2745,4655,5075,6180,5520,3352,11038,5103,6937,4840,8373,7458,99,99,2,5,6,7,1,5,5,7,5,4,4,1,7,4,6,1,9540,8463,8997,4392,4575,4788,10841,2647,4893,12432,6828,4858,3860,5380,8072,5978,99,99,2,1,5,7,2,5331,5265,2,7,6,7,6,2,6,3.611111111,6,3,2,7,4,7,7,5.375,5633.777778,6659,4.666666667,1,1,0
87,3,1,2,19,1,99,99,5,2,6,7,6,2,4,2,3,5,2,5,6,3,5,7,2,3,7505,6533,3190,7098,7927,5758,6125,5562,8497,12793,5600,5663,6170,7515,13968,4675,5815,9280,99,99,5,6,3,4,5,5,3,5,5,3,6,2,6,7,7,5,12980,5900,9930,12400,5747,3848,7960,9170,8155,6117,3570,7955,5696,7640,8060,18813,99,99,2,1,3,3,4,5438,1390,2,2,3,2,3,1,5,3.055555556,3,2,5,3,2,6,3,4.3125,7204.111111,8371.3125,3.333333333,1,1,0
88,3,2,2,21,1,99,99,6,3,2,7,2,2,1,5,7,6,3,2,3,5,3,4,3,2,5140,3057,7942,3797,9250,4880,2173,4137,2880,3673,4568,3478,3815,3440,4161,3288,5887,7092,99,99,6,6,2,7,3,5,6,7,3,2,3,1,7,5,6,2,5585,4223,7378,2948,4817,2922,9160,2181,5145,3828,4382,4007,2893,2867,3180,3810,99,99,2,1,5,3,1,5545,8865,6,6,6,5,5,4,6,4.777777778,2,2,6,5,5,7,6,5.0625,4592.111111,4332.875,3,1,1,0
94,3,2,2,19,1,99,99,6,7,7,5,3,6,2,5,2,2,3,7,3,2,2,2,3,4,2605,2150,1688,3603,3685,3820,3000,2715,3408,3628,3005,3173,4070,4770,4230,2155,5080,6530,99,99,7,2,3,7,5,7,7,7,7,7,6,1,7,6,7,3,4310,4293,7903,3082,3415,2290,8380,2095,2120,3280,3380,2968,2310,3442,4117,3892,99,99,2,1,5,6,1,3342,3725,1,5,1,5,6,6,4,3.944444444,1,6,5,3,2,7,5,5.6875,3517.5,3829.8125,4,1,1,0
97,3,1,2,29,2,99,99,5,4,2,6,4,2,7,5,2,5,2,5,1,3,2,2,2,3,18590,8015,16070,7110,14963,5783,4932,10453,13873,13225,6512,22243,8555,12483,7443,10080,6243,12157,99,99,2,2,2,6,2,6,5,5,4,4,3,2,7,4,5,2,18086,5847,9337,8072,7798,4578,8957,6715,9810,4995,24413,6753,6307,13253,8098,8748,99,99,2,2,2,6,5,17181,7168,6,4,3,7,6,6,5,4.444444444,6,6,6,6,5,6,6,5.4375,11040.55556,9485.4375,4.333333333,1,0,0
104,3,1,1,19,1,99,99,6,4,5,5,2,3,1,6,1,1,2,2,2,5,4,1,3,4,9670,5233,5550,6676,11310,9320,2965,6901,3860,5785,6453,8472,10351,11945,6743,4170,9840,8870,99,99,5,3,1,7,1,7,6,7,7,7,3,1,7,5,7,1,9955,5915,7130,4743,6888,3050,5940,2512,4060,4818,9865,4275,4915,7633,2968,3702,99,99,2,1,5,7,1,6260,4838,3,6,6,6,4,7,4,4.055555556,3,5,7,7,5,7,7,6.3125,7450.777778,5523.0625,4.333333333,1,1,0
105,3,1,2,19,2,99,99,3,4,3,2,4,3,1,5,4,3,4,3,3,5,1,2,3,4,7455,7117,7506,6760,6582,6272,4317,5112,5933,9487,4678,5865,7806,5900,7650,4112,8307,12458,99,99,4,5,3,5,2,7,6,6,5,5,1,1,3,7,7,2,6577,9600,9118,5598,4328,4265,10307,3142,6766,8130,10683,4502,8706,4872,3820,9615,99,99,2,2,4,5,1,4635,6233,5,4,5,5,7,6,4,4.055555556,4,3,5,6,7,7,6,5.5625,6850.944444,6876.8125,3.333333333,1,0,0
110,3,2,1,19,1,99,99,6,3,7,5,5,2,3,4,3,3,4,1,3,3,2,5,3,1,8328,3840,2955,4267,4833,3100,3230,3413,5440,4488,4487,3915,6167,4240,4161,4875,5197,6630,99,99,7,5,2,5,2,6,6,3,2,3,1,2,6,6,7,2,7463,8178,8523,7113,5512,2582,4438,2752,3878,5455,4813,3313,4618,3380,3863,3662,99,99,2,1,3,5,2,4990,3702,1,3,7,5,6,3,7,3.944444444,1,3,6,6,7,6,6,4.9375,4642.555556,4971.4375,3.333333333,1,1,0
111,3,2,1,19,4,99,99,6,5,7,6,4,6,1,5,4,1,2,1,2,4,4,4,3,1,4972,2755,3143,4365,5347,2072,1735,3645,5836,3257,2980,3120,3100,6180,6255,4615,4545,5478,99,99,4,6,1,5,2,5,5,6,2,2,4,5,5,5,5,2,6173,5100,8672,3003,4470,2858,5000,2376,4342,2793,6758,4697,4162,2785,2505,3042,99,99,2,1,5,2,1,3847,3792,1,4,7,6,4,4,7,4.222222222,4,2,7,6,4,3,6,4.5,4077.777778,4296,2.666666667,1,1,0
114,3,1,2,23,4,99,99,4,5,2,7,5,1,7,2,7,5,1,1,4,2,1,5,7,4,4631,10403,9775,4698,5503,7198,4803,7220,3553,10270,4048,8923,4660,7590,4947,7935,6170,29243,99,99,5,3,1,7,1,7,7,7,7,7,5,1,7,7,7,2,6605,6285,6525,3991,6275,2857,4850,2160,2427,3235,6050,4091,8735,4507,3882,8505,99,99,2,1,4,7,1,7267,2882,6,3,7,4,7,3,4,4.555555556,3,5,7,7,3,7,6,6.3125,7865,5061.25,4,1,1,0
