Subject,Cond,order_PPRS1_RSPP2,Sex,Age,SexOrient,Outro1,tOutro1,PP01,PP02,PP03,PP04,PP05,PP06,PP07,PP08,PP09,PP10,PP11,PP12,PP13,PP14,PP15,PP16,PP17,PP18,tPP01,tPP02,tPP03,tPP04,tPP05,tPP06,tPP07,tPP08,tPP09,tPP10,tPP11,tPP12,tPP13,tPP14,tPP15,tPP16,tPP17,tPP18,PPVAS1,PPVAS2,RS01,RS02,RS03,RS04,RS05,RS06,RS07,RS08,RS09,RS10,RS11,RS12,RS13,RS14,RS15,RS16,tRS01,tRS02,tRS03,tRS04,tRS05,tRS06,tRS07,tRS08,tRS09,tRS10,tRS11,tRS12,tRS13,tRS14,tRS15,tRS16,RSVAS1,RSVAS2,SPVAS1,SPVAS2,VIS01,VIS02,VIS03,tVIS01,tVIS02,PP03_revcod,PP05_revcod,PP12_revcod,PP13_revcod,PP15_revcod,PP16_revcod,PP18_revcod,PP_AVE,RS01_revcod,RS02_revcod,RS03_revcod,RS05_revcod,RS011_revcod,RS012_revcod,RS016_revcod,RS_AVE,tAVE_PP,tAVE_RS,VIS_AVE,VAS1_cor,VAS2_cor,VAS_bothwrong
91,2,2,1,22,1,2,22298,5,3,5,4,2,3,2,5,2,4,2,5,3,4,2,3,5,4,8281,5533,3695,3680,23275,3480,2183,4120,4215,8590,3420,3113,44631,3942,6250,4710,4493,14255,99,99,4,3,1,5,2,6,4,5,3,4,3,3,5,5,5,2,5628,5212,11432,3867,4498,3840,18115,7803,7353,10657,9465,4961,3262,3528,9210,9145,1,1,99,99,3,5,3,5798,4840,3,6,3,5,6,5,4,3.944444444,4,5,7,6,5,5,6,5,8437,7373.5,3.666666667,0,1,0
92,2,2,2,19,1,2,11295,6,4,6,6,4,5,2,6,7,6,5,2,2,5,2,4,4,1,4937,12875,2700,5130,6838,3448,3070,2965,6087,5125,5502,2925,5577,6218,5985,8745,5870,5383,99,99,5,5,1,6,2,6,3,5,4,3,2,2,7,4,5,2,8730,7780,6231,4005,5117,5230,6863,3910,4475,14265,4945,7890,5847,4803,11002,6047,2,1,99,99,4,7,1,5093,3547,2,4,6,6,6,4,7,5.055555556,3,3,7,6,6,6,6,5,5521.111111,6696.25,4,1,1,0
93,2,2,2,19,1,2,10470,4,4,6,4,5,2,3,2,5,4,2,4,4,2,3,4,2,1,5880,3122,3283,4290,11858,3555,3170,3768,4345,4840,3580,5328,9680,9160,6755,3062,10073,5897,99,99,5,5,3,5,3,7,4,5,1,2,2,2,5,3,6,2,6452,7581,20127,4850,4476,5067,14110,2330,7588,4537,13202,3635,4350,3360,7471,3495,2,2,99,99,3,5,2,5225,3470,2,3,4,4,5,4,7,3.5,3,3,5,5,6,6,6,4.5,5647,7039.4375,3.333333333,1,0,0
95,2,1,2,22,1,1,24586,6,5,5,6,3,2,2,6,3,4,4,3,2,4,5,2,3,6,4722,2443,2993,3778,6123,1975,4185,5220,5412,4440,3771,3450,7510,3523,3133,3335,3993,8568,99,99,6,5,3,5,3,5,3,6,3,3,2,2,5,6,6,2,3632,3543,5105,8523,2518,2058,3810,2858,5325,2905,3150,3695,4038,2850,3718,3642,2,2,99,99,6,5,2,3425,4923,3,5,5,6,3,6,2,4.166666667,2,3,5,5,6,6,6,4.6875,4365.222222,3835.625,4.333333333,1,0,0
99,2,2,2,19,1,2,15265,7,5,2,7,3,3,3,3,2,7,3,1,2,6,2,5,7,3,3185,5270,3048,4053,6980,2933,5345,4440,3965,8180,4027,2855,5523,5072,3113,3685,4763,5675,99,99,7,3,4,5,5,6,5,7,3,4,1,1,6,6,7,3,4265,8085,9148,5928,4760,3267,5787,3150,6285,5931,7335,5907,4722,4827,3625,4208,2,2,99,99,6,7,6,3447,2966,6,5,7,6,6,3,5,5.055555556,1,5,4,3,7,7,5,5.0625,4561.777778,5451.875,6.333333333,1,0,0
100,2,1,2,19,1,2,12810,5,4,3,4,3,2,2,5,2,3,2,2,3,2,3,4,3,3,7025,3457,6333,4552,9545,7075,3495,5355,5235,7827,6658,4160,7350,8348,19120,3162,6016,6905,99,99,4,6,2,5,5,6,5,5,4,3,4,3,5,5,7,3,16558,7898,29667,3720,4265,2430,6220,2593,5355,26038,15411,3087,19578,7430,4483,4343,1,2,99,99,3,5,2,5555,3795,5,5,6,5,5,4,5,3.833333333,4,2,6,3,4,5,5,4.625,6756.555556,9942.25,3.333333333,0,0,1
101,2,2,2,19,1,2,34045,2,2,6,1,2,5,2,4,2,1,2,6,3,2,6,5,1,7,5420,2957,3005,6835,5635,4243,2660,3542,5970,6833,5692,3468,7152,10413,4471,4980,6672,7927,99,99,3,5,3,6,2,6,5,6,5,3,3,2,6,6,6,3,4880,4995,9985,4343,4500,5795,5307,2687,5472,5995,7815,4095,8952,5248,13843,10565,1,1,99,99,5,6,6,8300,2591,2,6,2,5,2,3,1,2.5,5,3,5,6,5,6,5,5.25,5437.5,6529.8125,5.666666667,0,1,0
102,2,2,1,18,1,2,13610,7,4,4,7,1,4,4,4,7,7,1,4,4,7,1,1,7,1,3750,3887,6880,4942,12395,6563,3938,6058,4572,7440,3372,5258,12985,7577,7165,5755,5865,7090,99,99,4,1,4,7,1,7,4,4,7,7,1,1,7,7,7,4,6420,5985,8910,7295,4675,4027,9988,6350,3345,11623,3883,6390,6173,6955,2852,11285,2,1,99,99,7,7,7,3500,2225,4,7,4,4,7,7,7,5.5,4,7,4,7,7,7,4,6.0625,6416.222222,6634.75,7,1,1,0
106,2,2,1,19,1,2,14320,5,3,3,3,4,2,2,3,3,2,3,6,4,3,5,4,3,5,7055,3573,4097,6783,8020,3740,3055,3927,3026,5233,3038,4940,6335,5635,4861,8078,4943,6045,99,99,5,6,2,5,4,5,5,6,4,5,3,2,5,6,6,3,12656,7083,7390,5237,5168,3156,13810,2718,3825,4403,6295,5613,4020,3450,4450,3935,2,1,99,99,4,6,5,8878,4430,5,4,2,4,3,4,3,3.166666667,3,2,6,4,5,6,5,4.875,5132.444444,5825.5625,5,1,1,0
113,2,1,1,18,4,2,25870,6,6,4,5,2,2,1,3,1,3,2,2,1,3,3,4,2,5,5870,6763,12808,6705,8482,11320,5000,7423,7960,13188,11888,10955,8058,10525,7207,6625,11658,10787,99,99,5,1,1,7,2,7,5,7,6,6,3,1,7,5,6,6,11561,4858,12383,6630,6645,6530,11425,4605,5756,16610,10720,4443,5290,6320,16242,9770,2,1,99,99,5,7,5,5955,4941,4,6,6,7,5,4,3,3.833333333,3,7,7,6,5,7,2,5.8125,9067.888889,8736.75,5.666666667,1,1,0
116,2,2,1,19,1,2,25808,6,4,7,3,4,1,2,5,2,1,1,3,2,1,3,5,5,5,6040,3502,2140,5608,7788,2155,3633,3835,7622,4500,5262,4505,10155,6670,3515,3090,6067,10070,99,99,7,1,1,7,1,7,7,6,6,7,1,1,1,5,4,2,5915,5148,18285,3340,3818,3223,8846,4225,9880,11690,5960,3463,2815,4053,7020,7267,2,2,99,99,5,7,2,7610,2753,1,4,5,6,5,3,3,3.222222222,1,7,7,7,7,7,6,5.75,5342.055556,6559.25,4.666666667,1,0,0
1,3,2,1,25,1,99,99,6,4,6,6,3,4,4,4,4,4,2,2,3,4,3,4,4,3,6790,4485,6685,5612,10128,3720,11315,5010,5223,5990,6285,6193,9923,4320,4437,6516,8713,15857,99,99,6,6,3,7,3,7,5,7,6,5,2,1,6,6,7,3,9085,5835,12650,6110,7246,3375,6410,2890,5490,6162,6682,5410,7157,5705,3833,5362,99,99,2,1,4,5,1,6317,4705,2,5,6,5,5,4,5,4.333333333,2,2,5,5,6,7,5,5.5,7066.777778,6212.625,3.333333333,1,1,0
