"Subject"	"Cond"	"Exper"	"Inifile"	"Date"	"Time"	"Age"	"Attr_01_fem"	"Attr_01_mas"	"Attr_02_fem"	"Attr_02_mas"	"Attr_03_fem"	"Attr_03_mas"	"Attr_04_fem"	"Attr_04_mas"	"Attr_05_fem"	"Attr_05_mas"	"Attr_06_fem"	"Attr_06_mas"	"Attr_07_fem"	"Attr_07_mas"	"Attr_08_fem"	"Attr_08_mas"	"Attr_09_fem"	"Attr_09_mas"	"Attr_10_fem"	"Attr_10_mas"	"Attr_11_fem"	"Attr_11_mas"	"Attr_12_fem"	"Attr_12_mas"	"Debrief01"	"Debrief02"	"Debrief03"	"Debrief04"	"Formid_01_fem"	"Formid_01_mas"	"Formid_02_fem"	"Formid_02_mas"	"Formid_03_fem"	"Formid_03_mas"	"Formid_04_fem"	"Formid_04_mas"	"Formid_05_fem"	"Formid_05_mas"	"Formid_06_fem"	"Formid_06_mas"	"Formid_07_fem"	"Formid_07_mas"	"Formid_08_fem"	"Formid_08_mas"	"Formid_09_fem"	"Formid_09_mas"	"Formid_10_fem"	"Formid_10_mas"	"Formid_11_fem"	"Formid_11_mas"	"Formid_12_fem"	"Formid_12_mas"	"Health_01_fem"	"Health_01_mas"	"Health_02_fem"	"Health_02_mas"	"Health_03_fem"	"Health_03_mas"	"Health_04_fem"	"Health_04_mas"	"Health_05_fem"	"Health_05_mas"	"Health_06_fem"	"Health_06_mas"	"Health_07_fem"	"Health_07_mas"	"Health_08_fem"	"Health_08_mas"	"Health_09_fem"	"Health_09_mas"	"Health_10_fem"	"Health_10_mas"	"Health_11_fem"	"Health_11_mas"	"Health_12_fem"	"Health_12_mas"	"Instr"	"MateValue_Body"	"MateValue_Face"	"Mate_Pair01"	"Mate_Pair02"	"Mate_Pair03"	"Mate_Pair04"	"Mate_Pair05"	"Mate_Pair06"	"Mate_Pair07"	"Mate_Pair08"	"Mate_Pair09"	"Mate_Pair10"	"Mate_Pair11"	"Mate_Pair12"	"PP01"	"PP02"	"PP03"	"PP04"	"PP05"	"PP06"	"PP07"	"PP08"	"PP09"	"PP10"	"PP11"	"PP12"	"PP13"	"PP14"	"PP15"	"PP16"	"PP17"	"PP18"	"PPVAS1"	"PPVAS2"	"RS01"	"RS02"	"RS03"	"RS04"	"RS05"	"RS06"	"RS07"	"RS08"	"RS09"	"RS10"	"RS11"	"RS12"	"RS13"	"RS14"	"RS15"	"RS16"	"RSVAS1"	"RSVAS2"	"Rating_Instr"	"Recog_01"	"Recog_02"	"Recog_03"	"Recog_04"	"Recog_05"	"Recog_06"	"Recog_07"	"Recog_08"	"Recog_09"	"Recog_10"	"Recog_11"	"Recog_12"	"RelationshipStatus"	"SPVAS1"	"SPVAS2"	"SexOrient"	"VIS01"	"VIS02"	"VIS03"	"tAttr_01_fem"	"tAttr_01_mas"	"tAttr_02_fem"	"tAttr_02_mas"	"tAttr_03_fem"	"tAttr_03_mas"	"tAttr_04_fem"	"tAttr_04_mas"	"tAttr_05_fem"	"tAttr_05_mas"	"tAttr_06_fem"	"tAttr_06_mas"	"tAttr_07_fem"	"tAttr_07_mas"	"tAttr_08_fem"	"tAttr_08_mas"	"tAttr_09_fem"	"tAttr_09_mas"	"tAttr_10_fem"	"tAttr_10_mas"	"tAttr_11_fem"	"tAttr_11_mas"	"tAttr_12_fem"	"tAttr_12_mas"	"tFormid_01_fem"	"tFormid_01_mas"	"tFormid_02_fem"	"tFormid_02_mas"	"tFormid_03_fem"	"tFormid_03_mas"	"tFormid_04_fem"	"tFormid_04_mas"	"tFormid_05_fem"	"tFormid_05_mas"	"tFormid_06_fem"	"tFormid_06_mas"	"tFormid_07_fem"	"tFormid_07_mas"	"tFormid_08_fem"	"tFormid_08_mas"	"tFormid_09_fem"	"tFormid_09_mas"	"tFormid_10_fem"	"tFormid_10_mas"	"tFormid_11_fem"	"tFormid_11_mas"	"tFormid_12_fem"	"tFormid_12_mas"	"tHealth_01_fem"	"tHealth_01_mas"	"tHealth_02_fem"	"tHealth_02_mas"	"tHealth_03_fem"	"tHealth_03_mas"	"tHealth_04_fem"	"tHealth_04_mas"	"tHealth_05_fem"	"tHealth_05_mas"	"tHealth_06_fem"	"tHealth_06_mas"	"tHealth_07_fem"	"tHealth_07_mas"	"tHealth_08_fem"	"tHealth_08_mas"	"tHealth_09_fem"	"tHealth_09_mas"	"tHealth_10_fem"	"tHealth_10_mas"	"tHealth_11_fem"	"tHealth_11_mas"	"tHealth_12_fem"	"tHealth_12_mas"	"tMate_Pair01"	"tMate_Pair02"	"tMate_Pair03"	"tMate_Pair04"	"tMate_Pair05"	"tMate_Pair06"	"tMate_Pair07"	"tMate_Pair08"	"tMate_Pair09"	"tMate_Pair10"	"tMate_Pair11"	"tMate_Pair12"	"tPP01"	"tPP02"	"tPP03"	"tPP04"	"tPP05"	"tPP06"	"tPP07"	"tPP08"	"tPP09"	"tPP10"	"tPP11"	"tPP12"	"tPP13"	"tPP14"	"tPP15"	"tPP16"	"tPP17"	"tPP18"	"tRS01"	"tRS02"	"tRS03"	"tRS04"	"tRS05"	"tRS06"	"tRS07"	"tRS08"	"tRS09"	"tRS10"	"tRS11"	"tRS12"	"tRS13"	"tRS14"	"tRS15"	"tRS16"	"tRecog_01"	"tRecog_02"	"tRecog_03"	"tRecog_04"	"tRecog_05"	"tRecog_06"	"tRecog_07"	"tRecog_08"	"tRecog_09"	"tRecog_10"	"tRecog_11"	"tRecog_12"	"tVIS01"	"tVIS02"
205	6	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"21.05.2019"	"11:28:24"	"19"	2	2	4	2	5	6	3	2	5	4	1	1	5	2	3	3	5	7	1	1	1	2	2	2	"ok"	"ok"	"ok"	"ok"	3	1	5	3	5	3	1	5	1	1	1	1	5	7	2	1	1	6	2	2	1	5	1	2	3	1	3	2	7	5	4	1	5	6	1	1	3	4	3	4	6	7	2	1	1	3	1	2	"ok"	5	6	1	1	1	1	2	2	2	1	1	1	1	1	6	6	7	4	2	6	2	6	5	2	5	3	2	5	3	4	3	2	99	99	2	5	1	7	1	7	6	6	3	5	6	5	6	1	6	2	2	1	"ok"	2	2	2	2	2	2	2	2	2	2	2	2	2	99	99	3	2	5	1	1953	1537	2012	1957	2172	3250	6413	2795	4550	2142	2012	2335	3705	2308	2627	2557	3415	2538	1542	2103	1045	2412	1925	2303	2740	2880	3430	2073	2132	2807	1997	2237	2350	1788	1850	1335	3233	2383	4013	1517	1993	4127	3107	4082	1761	3435	1670	2343	3642	2187	4495	2700	2120	2112	2913	1567	3627	4978	2428	1303	2913	2280	2262	2628	4050	2468	2780	3515	1455	4580	2335	1965	8102	10610	16955	16093	5475	6165	7588	7998	3818	4528	3608	9995	3050	2840	1823	4185	4715	2398	3156	3230	4573	4085	2855	5160	3845	3583	4981	3255	4400	4640	8308	4975	4658	2337	2175	3285	4722	2930	3518	3458	8743	9512	2855	5198	4707	4070	940	1510	1465	1750	1985	1357	2267	1185	2280	2138	895	1920	2557	3095
207	3	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"21.05.2019"	"12:32:38"	"21"	3	1	3	4	2	1	1	1	2	4	1	1	1	2	1	1	6	6	4	3	1	2	2	2	"ok"	"ok"	"ok"	"ok"	3	4	5	5	5	3	3	4	3	5	3	4	3	3	2	2	5	6	4	6	2	3	2	3	3	3	4	4	5	3	3	5	6	6	3	5	4	4	5	5	6	6	4	3	4	4	3	4	"ok"	6	6	2	2	1	1	2	1	1	1	2	1	1	2	5	1	6	1	5	1	1	1	1	1	1	5	2	1	5	7	1	6	2	2	7	6	2	1	1	7	6	7	3	3	1	4	7	7	7	1	99	99	"ok"	2	2	1	1	1	2	2	2	1	2	2	2	1	99	99	1	1	1	2	1380	1953	2110	1652	2207	3750	1528	2815	2168	2263	1547	1270	1743	1575	2503	1438	1265	1560	1727	3325	1368	1725	1393	1362	1868	2625	1902	1423	1640	1425	1372	2265	1720	1303	1505	1725	1748	1443	1510	1430	1440	1592	1750	1385	3297	2147	1478	2010	1558	1798	2290	1345	2228	1955	1455	1725	1807	2262	2332	2047	1325	1748	1403	2030	2043	2623	1470	1723	2150	1957	1525	1540	8340	4750	24590	10483	3642	4152	9026	4525	6435	4945	5203	12790	4300	3132	3375	5103	6595	2325	2730	4000	3892	5341	3223	8148	9637	4265	8698	4198	4808	8543	4540	5726	12565	5688	8670	3921	9120	2492	4482	5455	6158	8178	4132	7190	8407	5818	2087	2745	1517	2445	1687	1625	3837	1203	2635	2750	1552	1785	2432	2233
206	5	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"21.05.2019"	"13:42:50"	"20"	2	2	1	2	4	3	1	1	1	2	1	1	1	1	2	2	6	6	1	1	2	1	2	1	"ok"	"ok"	"ok"	"ok"	6	6	5	5	4	4	2	2	1	2	1	1	2	5	2	3	4	4	3	5	3	2	3	2	4	3	2	1	5	5	2	3	5	5	3	3	2	4	5	5	7	7	3	4	4	3	3	2	"ok"	6	5	1	1	2	1	2	1	2	2	1	2	1	2	5	6	5	5	2	2	4	2	6	5	2	2	4	5	2	4	6	4	99	99	6	2	2	6	4	5	5	7	4	3	2	1	7	6	6	2	1	1	"ok"	2	2	2	2	2	2	2	2	2	2	2	2	2	99	99	1	4	7	2	2380	1808	1035	1627	2773	1720	997	910	2357	2633	910	1250	2145	3395	2603	1358	3897	1282	692	1407	1178	1793	1713	1058	1945	1715	2307	1738	1530	1313	4320	2373	2018	1520	1427	870	1900	2938	1260	1331	1405	2502	4535	2730	1277	1620	1370	4575	2110	1495	1643	2301	1447	1178	1490	2510	1615	1517	1543	2998	1485	2932	1093	1648	1642	2988	2322	3107	3332	2947	1435	3820	4162	9498	5397	6766	3588	5873	3903	2707	3492	4058	3765	3217	9785	4936	15357	7955	6870	3488	6597	3470	5263	7285	3685	3230	5168	9623	6183	3590	6878	9126	7338	10295	9908	6516	5610	3852	7183	4597	9773	38503	6180	6203	8092	7058	4920	4967	3140	6897	3060	1057	598	1318	2070	1021	5558	1020	2358	1235	5640	2833
208	4	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"21.05.2019"	"15:28:24"	"21"	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	"ok"	"ok"	"ok"	"ok"	2	3	3	3	4	3	2	2	2	3	3	6	2	2	3	2	3	4	2	2	1	2	2	2	1	2	1	2	2	3	3	1	2	1	2	4	1	2	1	1	4	3	1	1	1	2	2	1	"ok"	5	5	2	2	2	2	2	2	1	1	2	1	1	1	7	5	3	7	3	5	5	5	4	5	4	1	4	7	1	3	5	3	1	2	3	3	1	7	3	7	5	5	5	4	5	1	5	7	7	2	99	99	"ok"	2	2	2	2	2	2	2	2	2	2	2	2	1	99	99	1	4	5	5	900	767	1155	798	590	2020	790	943	840	725	935	1405	822	970	2625	1285	1637	572	1255	1412	1087	765	1275	670	1675	1613	2957	3190	2737	2511	1840	2820	1782	1725	2020	3227	1918	3460	3727	1150	2190	2063	3215	1703	2070	1165	1393	1238	2092	1837	4905	2585	2012	1438	2805	1790	2215	1475	1918	4082	1595	1830	1653	1540	1753	1340	1055	2507	1680	2075	1957	2247	16463	4988	6078	5498	9190	8310	13930	10812	19523	6443	8343	9083	3703	3490	3475	4590	4307	6615	2775	6871	5620	5635	5510	3670	17823	5457	4440	4428	4700	12446	5783	4730	6710	5298	3530	6077	4670	2955	2340	5552	6788	4382	4335	3883	3290	4880	875	437	643	573	725	1030	1322	1255	1245	1180	2032	987	5498	2785
209	2	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"22.05.2019"	"11:21:58"	"21"	1	1	2	4	2	2	1	2	1	1	3	1	1	1	3	3	4	4	1	1	2	2	1	1	"ok"	"ok"	"ok"	"ok"	2	1	6	7	3	6	6	6	3	3	3	5	3	4	3	3	4	5	6	6	4	5	2	3	2	1	4	3	4	6	3	6	3	3	3	4	4	3	7	5	6	7	3	3	6	3	6	3	"ok"	4	4	1	2	1	1	2	1	2	2	2	1	2	2	7	7	4	7	2	7	4	7	4	5	7	1	1	3	4	2	3	1	99	99	7	1	3	7	1	7	6	7	7	7	4	4	6	6	6	2	99	99	"ok"	2	2	2	2	1	2	1	1	2	2	1	2	1	2	1	1	7	7	1	918	1290	3535	1630	1685	1765	3492	6213	1577	1496	2693	9315	1008	1310	2013	1653	1837	3205	2373	1053	2280	1208	2743	1425	1335	1995	1607	1742	2172	2725	2475	2625	1672	1060	1910	12463	5972	2218	2008	3317	1117	1860	1643	1838	10246	5048	2870	3352	1688	2248	3655	2710	2025	2147	1740	1773	1667	1075	4347	10788	2505	1315	1852	2175	2460	1743	4042	2063	1793	3880	4010	3268	7463	9405	2492	5260	4376	11275	6320	6183	6920	3525	7185	7570	3238	2775	4140	3832	7565	3055	2803	3325	3897	6770	4915	2702	6702	4823	9182	3455	7400	7688	9286	6898	11100	4485	10311	3343	11092	3872	2798	4891	7250	4357	5792	4127	5545	7635	852	1240	1698	1012	1900	2420	2585	2230	1265	942	2252	3608	2992	1897
210	1	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"22.05.2019"	"14:09:22"	"20"	1	1	4	4	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	"ok"	"ok"	"ok"	"ok"	3	4	5	5	4	4	4	5	4	4	4	4	5	5	4	4	3	3	6	6	4	4	4	4	4	4	5	5	5	5	3	3	3	3	5	5	3	3	3	3	4	4	2	3	3	3	3	5	"ok"	5	5	2	2	2	1	1	1	1	2	2	2	1	1	7	5	7	2	3	4	3	3	5	2	3	4	3	2	3	4	5	6	99	99	3	5	2	6	3	6	3	4	3	2	3	3	4	5	6	3	99	99	"ok"	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	4	4	1	628	985	2378	2822	1680	2506	803	1737	595	1077	1710	718	535	832	1320	860	765	960	933	1428	665	748	625	2745	1573	1750	1405	1072	987	1682	1005	3012	2165	1040	985	1125	3685	1417	857	1355	963	1975	1388	2448	2412	1732	885	1005	1670	1238	3982	1990	2360	1640	2320	1185	917	1953	2047	843	592	2718	955	1590	2630	768	2670	793	2202	2393	1940	2790	2565	5045	1598	1555	1908	1192	2672	2190	2740	1472	2110	1808	3355	2853	2255	4358	5567	4472	2830	2542	5958	3600	4200	4101	3690	4715	3592	3922	4670	6910	5675	5867	4223	3795	2982	4120	5525	3598	2505	3200	5825	2525	7020	2625	2485	2965	468	1138	3030	590	501	1463	452	1265	1475	1093	443	428	3805	6020
212	1	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"22.05.2019"	"15:33:58"	"21"	1	1	1	1	3	5	1	1	1	1	1	1	1	1	2	2	1	3	1	1	1	2	1	1	"ok"	"ok"	"ok"	"ok"	5	3	5	4	4	4	6	6	3	3	5	5	2	4	4	4	1	3	5	6	3	4	3	3	6	6	6	3	6	7	4	5	4	3	6	7	6	6	6	5	4	5	4	3	5	4	6	6	"ok"	4	5	2	1	1	2	1	2	2	1	1	1	2	2	6	4	5	7	3	5	1	4	5	7	3	3	2	7	2	3	3	4	99	99	6	5	1	7	3	7	5	7	7	7	5	1	7	7	7	1	99	99	"ok"	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	6	5	1	1967	1213	1580	695	1615	4663	685	1415	1133	853	3622	1987	2883	1022	2557	2175	1953	7900	821	3035	1040	2863	870	830	1838	1791	2408	2098	2320	2438	1748	2198	1158	2040	2872	2402	2940	2540	3480	7908	2602	2742	1775	1142	3397	1617	1640	3320	1827	2033	3572	1603	1598	2315	2698	3700	8478	2445	2752	2030	1223	2245	3015	3715	2690	2795	2505	4082	1718	1685	1533	1708	3185	5703	5585	5265	10910	3563	5512	3286	5476	3115	3603	9423	10063	4058	2930	4317	5793	6470	3975	5555	9367	5028	6198	3420	8315	5408	6916	5845	8203	10885	6495	9137	9383	4632	5082	3738	5685	2787	3180	6377	9628	4456	8205	14085	2618	6295	675	677	542	663	4127	710	590	825	1030	538	677	1180	5430	5945
213	2	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"22.05.2019"	"16:22:24"	"22"	1	2	1	1	1	4	3	5	2	2	5	5	1	1	3	5	6	6	3	6	1	4	1	1	"ok"	"ok"	"ok"	"ok"	2	2	5	6	3	5	1	7	2	2	2	2	6	6	2	3	1	4	5	5	4	5	2	5	5	5	5	7	7	5	7	7	6	6	7	7	1	2	5	6	4	7	6	6	5	2	5	7	"ok"	5	4	2	2	1	2	2	2	2	1	1	1	1	2	5	3	6	5	6	2	3	2	7	2	2	1	2	1	5	5	2	2	99	99	3	3	1	7	1	7	3	5	5	4	1	2	5	5	5	6	99	99	"ok"	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	4	2	1	918	5125	2068	1407	985	3783	2750	2878	1648	2215	2650	1438	1565	1395	1870	2435	3607	3208	3907	3700	7356	2165	4605	1342	2702	3083	2913	1860	3675	4018	2255	2880	5368	1382	2565	2460	1980	2665	3323	1840	1907	3796	4245	3755	3095	1878	2021	1570	1375	3020	1758	1122	2640	1727	2380	3975	2845	1443	1950	2927	1985	2460	2145	2492	3695	3600	1685	2732	4695	1895	6100	8477	7251	8173	4463	11550	12040	3445	8390	11755	6435	5235	53969	2780	5972	5045	3013	5245	8858	3668	3895	6255	5703	4770	2885	3945	9653	4745	5297	3570	6205	8508	10263	4605	8532	4775	2698	3607	9012	3270	6805	5348	3543	7248	5992	6593	3897	12710	727	455	655	655	715	3463	487	555	965	928	1022	850	5143	6657
214	4	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"23.05.2019"	"14:24:11"	"21"	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	5	6	1	1	1	1	1	1	"ok"	"ok"	"ok"	"ok"	1	1	2	2	3	3	1	1	1	1	1	1	1	1	1	1	4	6	1	1	3	1	1	1	3	4	1	1	3	3	1	1	1	1	3	3	3	3	3	3	5	6	1	1	3	3	4	4	"ok"	5	5	2	2	2	2	2	2	2	1	2	2	1	1	7	7	7	7	1	6	1	7	3	3	7	3	1	4	1	1	5	1	1	1	4	5	2	5	2	6	6	7	6	2	1	1	5	6	7	4	99	99	"ok"	2	2	2	2	2	2	2	2	2	2	2	2	1	99	99	1	4	5	7	960	1198	4543	790	4075	1003	3090	2447	975	3655	690	2100	838	758	1253	1240	8708	3515	885	1018	1013	900	765	1493	900	1635	1690	1578	2005	1675	3500	2747	1200	795	712	1415	1497	1252	1078	1620	5812	4555	910	5402	4287	3390	1740	1778	1892	3437	3305	1420	1303	3123	1260	1867	1647	1653	2098	1760	1388	2107	1252	2308	3695	4180	2160	1440	1165	1445	3020	1485	22746	10615	12078	8742	10085	12813	11340	20186	13438	10913	9862	12340	4527	3970	3322	8480	5448	5900	3133	3400	8257	5520	3197	7133	5350	5858	6420	3302	14813	5883	7418	9125	9373	6592	4381	3620	6295	4855	11293	7658	6025	6142	6537	5337	3047	4523	1055	1120	980	983	1580	1883	1140	3695	2683	993	955	993	16478	6792
219	2	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"24.05.2019"	"11:19:23"	"21"	2	2	2	2	4	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	"ok"	"ok"	"ok"	"ok"	2	2	3	2	3	3	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	2	5	5	2	2	5	4	2	2	2	2	3	4	4	3	2	2	5	5	2	2	3	2	2	3	"ok"	6	6	1	1	1	2	2	2	2	1	1	1	1	2	7	6	1	1	4	4	4	4	4	7	2	2	2	7	2	2	4	1	99	99	3	1	1	4	4	7	5	6	5	5	4	4	4	7	7	3	99	99	"ok"	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	4	4	1	1557	625	500	623	2752	462	533	1613	687	733	527	637	768	745	1215	3093	623	2510	1270	640	860	1815	637	808	1867	1637	3187	1050	1905	1505	2578	730	2300	843	985	1918	745	750	838	1180	3533	1620	1478	1255	1037	742	717	545	995	3072	1607	762	1328	2978	2057	2200	1213	642	2672	3000	4810	2332	1685	1743	2812	1772	1205	1788	1710	837	1665	1527	6685	6430	10565	9182	7815	3590	3447	10598	11277	4957	1508	2908	3835	2785	3585	3680	16675	4312	3068	4905	8367	6133	6420	3542	5975	6208	4280	4508	6650	7780	12517	7395	7171	10352	9077	3970	6465	4345	3510	4587	5148	2375	3845	5775	2813	7190	1628	553	3522	1500	525	5420	1135	422	1145	622	452	1007	6390	8126
222	3	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"24.05.2019"	"12:28:43"	"21"	1	2	1	3	3	2	1	1	1	1	1	1	2	1	2	2	4	4	1	1	2	1	2	3	"ok"	"ok"	"ok"	"ok"	3	3	5	5	2	3	3	4	2	2	3	3	3	5	2	2	4	4	4	4	3	3	2	3	4	4	2	2	5	6	3	4	3	4	3	4	4	4	5	5	5	6	2	2	4	3	4	3	"ok"	5	5	2	1	1	2	1	1	1	2	2	2	1	2	5	4	5	6	4	3	1	2	6	4	2	2	4	5	4	4	5	5	1	2	5	5	1	6	3	5	4	6	4	3	1	3	5	6	7	2	99	99	"ok"	2	2	2	2	2	2	2	2	2	2	2	2	2	99	99	1	4	5	4	2390	3963	2447	2295	2035	1917	3200	1635	2535	3073	1365	1162	3873	1550	2365	1805	2493	4175	935	1288	6295	1663	2235	6365	4562	1537	3420	3900	1675	3520	2008	1917	1105	1605	3670	2463	2117	2550	1718	2530	2780	4861	815	3430	2950	998	1330	1220	898	1732	1242	1520	3060	5953	2395	3960	1150	3318	3572	2582	2415	1537	1780	1250	2835	2675	2580	4045	1610	2045	3332	2622	22550	8827	3538	15917	2965	10448	3798	6833	3810	5480	15372	5080	4155	3730	4277	3893	6058	3080	4553	4490	5068	7725	3105	4315	5865	9363	3552	3720	6581	6810	5262	6226	7875	5313	5008	3575	8205	3046	3172	5220	5240	8805	4910	4116	3670	5947	3410	883	1283	873	595	737	1515	8088	802	700	878	4290	8575	2710
225	2	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"24.05.2019"	"13:57:49"	"23"	1	1	2	3	4	4	1	2	1	1	1	1	1	1	1	1	5	5	1	1	1	1	2	2	"ok"	"ok"	"ok"	"ok"	3	1	4	5	3	5	2	6	1	2	3	3	3	2	1	3	5	4	5	5	4	3	4	3	5	5	2	3	6	6	5	4	2	2	4	3	4	2	5	5	6	6	1	1	5	4	5	5	"ok"	6	4	2	2	1	2	2	2	2	1	1	1	1	1	7	6	3	7	3	2	4	2	1	5	4	2	4	6	2	1	7	2	99	99	3	1	1	7	2	7	7	7	7	6	1	1	7	6	7	2	99	99	"ok"	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	3	2	3	1	1583	705	7765	6196	1852	3102	1290	2473	1305	1815	1512	1295	1767	895	772	2475	1678	10163	1052	1140	2258	1335	4470	1625	2000	1515	4335	1442	1548	2598	1363	1758	1857	3105	2515	1862	1347	2056	1565	3308	2943	2253	2133	2198	1798	3111	3595	1830	2660	7618	2295	3762	3067	1842	3960	1942	3520	1680	1718	5153	2595	2616	3572	2405	2845	4792	1872	2188	1335	2432	3715	3727	11850	4245	5867	3497	16718	5408	3110	8587	6465	8623	7125	6243	4623	5005	8273	4235	8310	4942	2840	4327	6830	8163	4073	3887	6045	6110	3772	5540	7293	12430	8977	4952	6646	4308	4747	3357	7315	2453	2460	5793	5518	6718	5460	4498	3705	6498	1862	1248	3295	1020	5765	2410	2198	1512	1590	3643	1342	1295	4710	3515
227	6	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"24.05.2019"	"14:33:22"	"22"	1	1	1	1	1	2	1	1	2	2	1	1	1	1	3	3	4	6	1	1	1	1	1	1	"ok"	"ok"	"ok"	"ok"	1	1	1	1	2	1	2	1	2	2	1	1	1	1	3	3	5	3	1	1	2	1	3	2	2	5	1	3	5	3	3	3	3	2	2	4	5	4	4	5	5	7	2	2	2	1	5	5	"ok"	6	7	2	2	1	2	2	2	2	2	1	1	1	2	7	7	4	7	2	6	4	6	7	7	6	1	1	7	1	2	7	1	99	99	6	6	1	4	4	5	5	5	5	4	1	3	6	3	6	3	2	1	"ok"	2	2	2	2	2	2	2	2	2	2	2	2	1	99	99	1	4	5	5	1097	908	812	1502	1940	1385	1405	810	1622	1680	1218	785	875	682	1332	1505	3503	4072	1130	997	2100	898	3860	1420	1340	1045	2065	1115	1623	2323	1615	1188	1520	2958	1320	2305	1505	1505	1370	1358	2000	1675	2133	1305	3775	1328	1082	2763	3743	2965	1593	1713	3018	1715	955	2355	2935	5330	4385	3035	2398	2615	12410	3525	4965	3525	2078	1582	2087	1098	2085	2895	10892	6357	23495	3360	19341	3467	3665	5055	4068	22915	5248	14328	3900	3213	6688	5390	7080	3887	4232	3735	4165	5412	3165	4283	4430	6535	3560	4787	4917	13361	7878	4072	6800	9555	5268	2563	5357	1993	3210	6865	3922	5050	5832	8793	7800	4335	1670	1695	962	1247	1265	1117	1100	690	3605	880	1752	1892	5882	2195
229	1	"C:\Users\sociallab1\Desktop\Deney51_ASIL\Deney51_ASIL.exp"	"default.mlp"	"24.05.2019"	"15:17:38"	"19"	1	1	2	4	5	5	2	2	4	4	3	3	1	1	4	5	6	7	2	2	3	3	2	2	"ok"	"ok"	"ok"	"ok"	3	4	6	6	5	6	4	4	5	5	6	4	5	6	5	5	5	5	5	6	4	4	5	5	3	5	5	4	6	6	4	4	6	6	3	5	3	3	5	3	6	6	3	3	4	4	5	5	"ok"	4	4	2	2	2	2	1	2	1	1	2	1	2	1	7	7	6	7	3	2	1	3	6	7	2	1	2	7	4	5	7	1	99	99	7	3	1	7	2	7	7	7	7	7	1	2	7	7	7	1	99	99	"ok"	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	3	5	1	1547	1500	1460	2412	1483	2042	1440	4285	2583	3330	2788	1297	1597	1997	3750	5933	2285	1832	1072	4520	6140	1762	1523	1710	1798	3355	2138	2617	4386	4670	3060	3238	10040	3507	2895	6403	4080	2680	4883	2513	4443	3263	6192	2155	2407	4061	3970	3535	2285	2185	3875	3813	1776	3752	3400	3802	4228	1730	1350	2965	1255	3778	2670	2650	2058	1588	3008	1662	2187	3838	2262	13715	6098	7658	5533	3030	8773	8360	4915	5332	4535	5787	14065	3315	3953	2447	2473	4085	8875	3346	2750	4435	5267	7705	2750	3088	5785	5080	7760	5553	5585	5135	5968	5248	6472	4060	5280	2838	6643	2408	2200	4140	4430	3212	3405	6875	2100	6730	1445	1405	1577	1158	1552	1288	2138	1565	1938	1285	2243	1467	8232	1913
